Reference,品名/型番,値/仕様,フットプリント,数量,入手先
"R9, R33, R40",固定抵抗 1/4W,1M,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,秋月電子
R10,固定抵抗 1/4W,4.7,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,秋月電子
R13,固定抵抗 1/4W,120,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,秋月電子
"R14, R28",固定抵抗 1/4W,100,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,秋月電子
"R15, R19",固定抵抗 1/4W,20k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,秋月電子
"R18, R23, R26",固定抵抗 1/4W,51,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,秋月電子
R21,固定抵抗 1/4W,10,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,1,秋月電子
R22,固定抵抗 1/4W,470,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,1,秋月電子
"R24, R30, R38",固定抵抗 1/4W,4.7k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,秋月電子
"R27, R29",固定抵抗 1/4W,47,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,秋月電子
RFC1,RFチョーク,10uH,Inductor_THT:L_Axial_L9.5mm_D4.0mm_P12.70mm_Horizontal_Fastron_SMCC,1,秋月電子
"SW1, SW2",DIP スライドスイッチ,SW,Button_Switch_THT:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,2,秋月電子
Studio XIAO ESP32C3,Seeeduino_XIAO_Socket,Seeeduino_XIAO_Socket,PSN_TRX:Seeeduino_XIAO_Socket,1,秋月電子
T1,音声トランス 山水 ST-71,ST-71,PSN_TRX:Transformer_ST71_CB19,1,サトー電気
TC1,トリマコンデンサ TMCV01（50pF 代替可）,30p,PSN_TRX:C_Trimmer_TMCV01,1,秋月電子
U1,三端子レギュレータ LP2950L,LP2950-3.3_TO92,Package_TO_SOT_THT:TO-92_Inline,1,秋月電子
U2,クロックジェネレーターモジュール Si5351A,Si5351_DIP8,PSN_TRX:DIP-8_W7.62mm,1,秋月電子
VR3,トリマポット Bourns 3266W,500,Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical,1,秋月電子
"VR4, VR6",ボリューム TOCOS GF063P,1k,PSN_TRX:Potentiometer_TOCOS_GF063P_Vertical,2,秋月電子
"VR5, VR7",ボリューム TOCOS GF063P,500,PSN_TRX:Potentiometer_TOCOS_GF063P_Vertical,2,秋月電子
VR8,ボリューム TOCOS GF063P,10k,PSN_TRX:Potentiometer_TOCOS_GF063P_Vertical,1,秋月電子
